,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04,2021-05-11,2021-05-18,2021-05-25,2021-06-01,2021-06-09,2021-06-16,2021-06-23,2021-06-30,2021-07-08,2021-07-15,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-21,2021-08-28,2021-09-05,2021-09-12,2021-09-19,2021-09-27,2021-10-04,2021-10-12,2021-10-19,2021-10-27,2021-11-04,2021-11-11,2021-11-18,2021-11-26,2021-12-03,2021-12-10
Victor---Shenanigan,1.775720813500956,1.7990178981396263,1.7998396198830493,1.7867107768380912,1.7649143592725793,1.7465843265058538,1.7301006761272022,1.7219924962857522,1.7305159412869697,1.719198296388191,1.6539742548205139,1.612170052112746,1.579736121102614,1.5741387917225242,1.5846037090547866,1.5700206635743468,1.5573749709547202,1.5574555039657587,1.52855710867094,1.4245975754318025,1.1801011033849949,1.0106661580984233,1.0330126428518707,1.022142592955111,0.9949986860116959,1.0117767237845443,1.0417384212321634,1.049772565897354,1.0139233395477472,0.9975890360678447,1.0158227327086957,0.9946928275138637,0.9706620485876986,0.9504067641321684,0.9566818262183067,0.9358231071594819,0.9002076038610585,0.9268559855868488,0.9225354200879897
pretty-scone---Shenanigan,0.0003876328784381187,0.000247708811867826,0.00024277348842662098,0.00032162632073184276,0.0004508376904543984,0.0005605850871419577,0.0006595409889535587,0.0007062540668441312,0.0006532836655433918,0.000716864852597163,0.0011083995506109194,0.001359702850300212,0.001552093298090643,0.0015874817309011067,0.0015261509711647582,0.00161368252163413,0.0016899103137795206,0.001689514646184732,0.0018620924239660934,0.002485715561112952,0.00395618414060343,0.004974032296555251,0.004839169889625626,0.004904998938777713,0.005067342402301533,0.0049654457348119,0.004785998804292032,0.004742806962499037,0.004961270757832531,0.005059312475267661,0.004949769160933245,0.005076622479766804,0.0052208820124021735,0.005342404781413913,0.005304806325528822,0.0054301069065468156,0.005644084227379892,0.005483863893520133,0.0054733262327549695
Yalor--EST-,5.7296326644885065,5.7319792983185565,5.732062067474951,5.7307396450467145,5.727690628682492,5.725671460085672,5.723987938204842,5.722174213310314,5.72213985526135,5.718793445251896,5.712120267072357,5.70802200606246,5.703544622232156,5.70386995363928,5.705688574217379,5.704191886661841,5.7030571403292,5.7031094563289955,5.699702347017273,5.688846303889191,5.665225517023557,5.648263867188445,5.650189462838478,5.649367109003185,5.646289030862673,5.647413290682198,5.65068499736876,5.654036343490853,5.652007635014102,5.650330520610147,5.65215189904482,5.649996185931159,5.647539913693306,5.645433371487354,5.646110658011183,5.644020441739182,5.640467112855589,5.64306687928494,5.624307491943568
FunctionalBen,0.00756384619431882,0.004833520215042329,0.004737217683691262,0.0062758660510493095,0.00879715612086132,0.010938647400229437,0.012869565191152977,0.013781073363140843,0.012747466590917321,0.013988120690395917,0.02162810274622117,0.02653176188533639,0.030285859737423648,0.03097639110802065,0.02977964939845352,0.03148764482848069,0.03297507101854852,0.03296735039164216,0.036334845359961614,0.048503548674302496,0.07719667247138519,0.09705785383404829,0.09442629557324878,0.0957108120077445,0.0988786057039214,0.09689030501149636,0.09338877287117874,0.09254597426883128,0.09680883905364467,0.09872191844539852,0.09658440940700119,0.09905968703763464,0.1018746105841481,0.10424587366589741,0.10351221830981774,0.10595719750430108,0.11013251810758726,0.1070061528534307,0.10680053240761928
Fluchtzwerg,0.00407961457568303,0.002606993719141997,0.002555052259667309,0.003384933267961673,0.00474480911076446,0.005899837757905672,0.006941292087082016,0.007432920542865389,0.006875437333244476,0.0075445930005576724,0.011665271998011617,0.014310095647802574,0.01633489519058265,0.01670733822711211,0.01606186702155733,0.01698308658003704,0.01778534054043766,0.017781176365062934,0.019597458875753586,0.02616073609384861,0.041636577756570044,0.0523488480613606,0.05092949828061276,0.051622311412218895,0.05333088361261435,0.052258479404851586,0.05036990298620472,0.04991533352852796,0.05221454015747194,0.05324637321839534,0.0520934924214207,0.05342855112586383,0.05494680028571786,0.05622575799883867,0.0558300557321217,0.057148772758196055,0.05940076180632212,0.05771453433261359,0.057603631473639436
shani,0.00020729614493596228,0.00013246833440385065,0.0001298290497087645,0.00017199752679981144,0.00024109646116602266,0.0002997865607823291,0.0003527056450634661,0.0003776866038609404,0.00034935938861130035,0.00038336098058101544,0.0005927437187892626,0.0007271342933070364,0.0008300197820461619,0.0008489446104211255,0.0008161464893985599,0.0008629561228994111,0.0009037207956804944,0.0009035092027748404,0.0009957993825445177,0.0013292970795002002,0.0021156660505896796,0.0026599852004748816,0.0025878642360047345,0.0026230679271080585,0.002709885057480585,0.002655393326960893,0.002559429700069273,0.002536331808238095,0.002653160656098435,0.002705590857966484,0.002647009896370735,0.0027148478054575082,0.002791994112308643,0.0028569813797447267,0.002836874687577828,0.002903882232211101,0.003018311828305085,0.002932630093351885,0.002926994822004256
tbull666,0.009778184068007532,0.009906471792132217,0.009910996685008836,0.009838701399107174,0.009718677248149272,0.009617741091404971,0.009526972223748709,0.009482323721380878,0.009529258922839222,0.009466937180482428,0.00910777447919567,0.008877575460416958,0.008698974778905064,0.008668152525456406,0.008725778638273993,0.0086454756413751,0.008575840871561052,0.008576284334632218,0.008417152433764497,0.007844688877608808,0.006498344627164024,0.0055653341730609075,0.005688387323945212,0.005628530308185293,0.005479059672711753,0.005571449613965773,0.005736436694370129,0.005780677514643193,0.005583270168129635,0.005493323694092263,0.005593729366334702,0.005477375432335771,0.005345047547315173,0.005233509799798694,0.005268064056104032,0.0051532034356566525,0.004957083108475205,0.005103825084831031,0.005080033459253116
reelitin,0.30873459022442457,0.30709425823786785,0.3070364013651865,0.30796079433225243,0.3094287659937108,0.31070586406205597,0.31186465524515916,0.31235763542085726,0.31168773064412164,0.3123121786501111,0.31689648009244326,0.31984867935670475,0.3220377423398735,0.3225013271548886,0.32182424286386707,0.32284885373231864,0.32375009126740767,0.3237478753046084,0.3257438106496223,0.33303347966807684,0.35032696244812617,0.3622649628849268,0.3606661425759215,0.36145279357697546,0.3633370985835653,0.3621115593714566,0.360021807195392,0.35965477909390003,0.3623025436254008,0.36345014456120833,0.3621651315340687,0.36365073493509414,0.3653399332746649,0.3667609133244281,0.3663226242503073,0.36779211726836375,0.3703024452143621,0.36841955278572214,0.36729182704023067
abdullah,9.059875112036046e-05,5.789526700407593e-05,5.674176799761951e-05,7.517149500617809e-05,0.00010537117459626602,0.00013102167441626756,0.0001541499527920434,0.00016506787733685106,0.00015268747187813963,0.00016754786288788028,0.00025905855930574527,0.000317793941082475,0.0003627600295307296,0.0003710311231223085,0.00035669670892151957,0.0003771548526891666,0.00039497104722060463,0.00039487857057081405,0.0004352139807174393,0.000580969102478315,0.000924651551192054,0.0011625461594382898,0.0011310257020143964,0.0011464114702821728,0.0011843548849560647,0.0011605392817619175,0.001118598392064973,0.0011085034616741334,0.0011595634932740804,0.0011824781056596653,0.0011568753045962678,0.001186523853264536,0.0012202406358724327,0.0012486433120063904,0.0012398556850100211,0.0012691413230101474,0.001319152761961532,0.001281705571696688,0.001279242677143211
pzoisme,0.00909384603796622,0.005811235121360213,0.005695452704495258,0.007545335819494569,0.01057662745643251,0.01315129535500085,0.015472795376486926,0.016568681618149485,0.015325998912959122,0.016817610069133092,0.026002992580041805,0.03189855418827142,0.03641202352665949,0.03724223421673294,0.035803417961824145,0.03785690332828799,0.03964520314531431,0.039635920805272055,0.04368458599343046,0.05831475053926983,0.09281186265069259,0.11669052448544028,0.11352665982599977,0.11507100570353958,0.1188795744413214,0.11648908421854613,0.11227926908442093,0.11126599084820858,0.1163911394879149,0.11869119279413924,0.1161213126563667,0.11909728454896143,0.12248160526133474,0.12533252274788254,0.12445046503786077,0.12739000978658424,0.1324099059809241,0.12865114574845118,0.12840393280566667
